date,strategy_name,optimization_status,risk_aversion,expected_class,p_bearish,p_bullish,normalized_entropy,confidence_score,ordinal_variance,risk_aversion_mode,constant_lambda,asset_universe,estimated_portfolio_mu,estimated_portfolio_vol_daily,strategy_control,policy_name,analysis_group
2024-12-20,AURORA18_REDUCED_SYNTH_TW50,optimized,34.296309307093644,2.314768252201448,0.182319296369524,0.48430211060033,0.8259969351881264,0.1740030648118735,0.9226057114743788,dynamic,,"TW50_SYN,00692,00881",0.0002305980806879,0.0100529973146766,Reduced-universe: Synthetic Taiwan 50 sleeve,AURORA18_REDUCED_SYNTH_TW50,reduced_universe_sensitivity
2024-12-20,AURORA18_DYNAMIC_ORIGINAL,optimized,34.296309307093644,2.314768252201448,0.182319296369524,0.48430211060033,0.8259969351881264,0.1740030648118735,0.9226057114743788,dynamic,,"0050,006208,00692,00881",0.0002268188078254,0.0097205068869015,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-12-20,AURORA18_Exposure_matched_constant_lambda_AURORA_34,optimized,34.0,2.314768252201448,0.182319296369524,0.48430211060033,0.8259969351881264,0.1740030648118735,0.9226057114743788,constant_lambda,34.0,"0050,006208,00692,00881",0.0002266069979637,0.0097114902912716,Exposure-matched constant-lambda AURORA,AURORA18_Exposure_matched_constant_lambda_AURORA_34_0,constant_lambda_exposure_match
2024-12-23,AURORA18_REDUCED_FULL,optimized,34.14183037717817,2.40217575413492,0.1680434721287993,0.529061779705455,0.8312384373840873,0.1687615626159126,0.9445709410401886,dynamic,,"0050,006208,00692,00881",0.0001536089673986,0.0094395285597122,Reduced-universe: Full universe,AURORA18_REDUCED_FULL,reduced_universe_sensitivity
2024-12-23,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0001530202379889,0.0094316463114985,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
2024-12-23,AURORA18_REDUCED_REMOVE_0050,optimized,34.14183037717817,2.40217575413492,0.1680434721287993,0.529061779705455,0.8312384373840873,0.1687615626159126,0.9445709410401886,dynamic,,"006208,00692,00881",0.000159928636291,0.0097889501895323,Reduced-universe: Remove 0050,AURORA18_REDUCED_REMOVE_0050,reduced_universe_sensitivity
2024-12-23,AURORA18_DYNAMIC_ORIGINAL,optimized,34.14183037717817,2.40217575413492,0.1680434721287993,0.529061779705455,0.8312384373840873,0.1687615626159126,0.9445709410401886,dynamic,,"0050,006208,00692,00881",0.0001536089673986,0.0094395285597122,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-12-23,AURORA18_Exposure_matched_constant_lambda_AURORA_34,optimized,34.0,2.40217575413492,0.1680434721287993,0.529061779705455,0.8312384373840873,0.1687615626159126,0.9445709410401886,constant_lambda,34.0,"0050,006208,00692,00881",0.0001534847021366,0.0094319885361854,Exposure-matched constant-lambda AURORA,AURORA18_Exposure_matched_constant_lambda_AURORA_34_0,constant_lambda_exposure_match
2024-12-23,AURORA18_REDUCED_REMOVE_006208,optimized,34.14183037717817,2.40217575413492,0.1680434721287993,0.529061779705455,0.8312384373840873,0.1687615626159126,0.9445709410401886,dynamic,,"0050,00692,00881",0.0001529564984706,0.009764559728961,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-12-23,AURORA18_REDUCED_SYNTH_TW50,optimized,34.14183037717817,2.40217575413492,0.1680434721287993,0.529061779705455,0.8312384373840873,0.1687615626159126,0.9445709410401886,dynamic,,"TW50_SYN,00692,00881",0.0001563707630641,0.0097826204383167,Reduced-universe: Synthetic Taiwan 50 sleeve,AURORA18_REDUCED_SYNTH_TW50,reduced_universe_sensitivity
